OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Length,Shape_Area
"10662","1969",CA,USF,BDF, ,"00000000",,,"14",,,34.4544219970703,,"1","00000000",1499.4199670638,139432.093061801
"10663","1969",CA,CDF,BDU,PILOT,"00000955",1969/08/20 00:00:00,,"14",,,1879.53649902344,,"1","00000309",16690.5086792252,7606214.12563092
"10664","1969",CA,USF,ENF,HELLS DELIGHT,"00000000",1969/08/31 00:00:00,,"9",,,45.7676734924316,,"1",000083PL,1912.94565659805,185215.206234961
"10665","1969",CA,USF,ENF,PEBBLE CANYON,"00000000",1969/08/16 00:00:00,,"9",,,242.807159423828,,"1",000065C3,4201.86721671604,982605.707676157
"10666","1969",CA,USF,ENF,SALT,"00000000",1969/09/09 00:00:00,,"1",,,10.3835849761963,,"1","00000123",764.326017206953,42020.8791854657
"10667","1969",CA,CDF,TGU,OTT,"00000000",1969/06/15 00:00:00,,"14",,,624.751708984375,,"1","00000028",8233.42735502408,2528280.53790238
"10668","1969",CA,CDF,FKU,BURROUGH (VALLEY),"00000000",1969/09/03 00:00:00,,"14",,,2228.1455078125,,"1","00000019",14880.951631609,9016985.05514044
"10669","1969",CA,CDF,FKU,BIG CREEK,"00000000",1969/08/15 00:00:00,,"9",,,2476.30297851562,,"1","00000018",15319.2292203897,10021242.1624922
"10670","1969",CA,USF,KNF, ,"00000000",,,"14",,,322.959350585938,,"1","00000568",5897.70481218485,1306970.17278643
"10671","1969",CA,CDF,SHU,MANZANITA,"00000000",1969/05/25 00:00:00,,"14",,,516.999450683594,,"1","00000002",14699.966711756,2092222.4378768
"10672","1969",CA,CDF,TGU,LIGHTNING #6/BRUSHY,"00000000",1969/07/23 00:00:00,,"1",,,1426.98376464844,,"1","00000085",13127.3778778917,5774798.2245073
"10673","1969",CA,USF,LNF, ,"00000000",,,"14",,,746.09716796875,,"1","00000181",9213.07896866298,3019348.19348938
"10674","1969",CA,CCO,LAC,BITTER FIRE,"00312037",1969/09/02 00:00:00,,"14",,,816.997497558594,,"1","00000647",10769.6770287415,3306271.55023227
"10675","1969",CA,CCO,LAC,VALLEY VIEW FIRE,"00312038",1969/11/01 00:00:00,,"14",,,122.568565368652,,"1","00000121",4360.2276476168,496017.379734134
"10676","1969",CA,CCO,LAC,OASIS FIRE,"00312031",1969/09/08 00:00:00,,"14",,,173.36506652832,,"1","00007100",4961.67840386268,701583.525807327
"10677","1969",CA,CCO,LAC,VALENCIA FIRE,"00312037",1969/10/11 00:00:00,,"14",,,537.215576171875,,"1","00003162",10742.9441685117,2174034.22235097
"10678","1969",CA,CCO,LAC,WELDON FIRE,"00312037",1969/10/29 00:00:00,,"14",,,4010.47534179688,,"1","00003188",35002.0897844027,16229818.0203516
"10679","1969",CA,CCO,LAC,BOLE FIRE,"00031000",1969/09/10 00:00:00,,"14",,,715.080383300781,,"1","00000042",9674.44166319769,2893827.58010307
"10680","1969",CA,CCO,LAC,SUGAR LOAF FIRE,"00316028",1969/11/28 00:00:00,,"14",,,121.831489562988,,"1","00000297",4467.06990627841,493034.531991072
