OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,TREATMENT_ID,TREATMENT_NAME,TREATMENT_TYPE,START_DATE,END_DATE,TREATED_AC,GIS_ACRES,RX_CONSUM,PRE_CON_CLASS,POST_CON_CLASS,Shape_Length,Shape_Area
"3894","1958",CA,CDF,MMU,0000000000013-58,HAIGH #4,,1958/08/12 00:00:00,,0,557.659606933594,,,,7335.86691838557,2256768.27798415
"3895","1958",CA,CDF,MMU,0000000000109-58,HAIGH COOP,,1958/08/17 00:00:00,,0,1714.55834960938,,,,11454.9515695876,6938571.25676825
"3896","1958",CA,CDF,MMU,0000000000004-58,HAIGH-TURPIN,,1958/07/26 00:00:00,,0,2195.71875,,,,14464.5991549176,8885758.07261351
"3897","1958",CA,CDF,MMU,0000000000016-58,INDIAN PEAK COOP,,1958/10/11 00:00:00,,0,179.851287841797,,,,5530.09621491659,727832.345864432
"3898","1958",CA,CDF,MMU,0000000000002-58,LONG #9,,1958/08/23 00:00:00,,0,368.693054199219,,,,5052.53901854627,1492047.82836529
"3899","1984",CA,CDF,LNU,0000000014-12-84,SONOMA KGRA,,,,0,80.6033630371094,,,,2696.07720585229,326190.240714696
"3900","1984",CA,CDF,LNU,0000013-012-84-V,TERHEL VMP,,,,0,1188.19958496094,,,,55250.7338104306,4808473.17776101
"3901","1984",CA,CCO,MRN,"0000000000000000",MT. TAM VMP,,,,0,20.2210330963135,,,,1309.8962262095,81831.6209424284
"3902","1984",CA,CCO,MRN,"0000000000000000",MT. TAM VMP,,,,0,9.35954475402832,,,,947.852125767006,37876.7319924209
"3903","1984",CA,CCO,MRN,"0000000000000000",MT. TAM VMP,,,,0,11.2393102645874,,,,1021.35457138333,45483.8736025181
"3904","1984",CA,CCO,MRN,"0000000000000000",MT. TAM VMP,,,,0,6.28737640380859,,,,817.339411923171,25444.1099482454
"3905","1984",CA,CCO,MRN,"0000000000000000",MT. TAM VMP,,,,0,4.18952131271362,,,,508.684616809751,16954.3911047438
"3906","1984",CA,CCO,MRN,"0000000000000000",MT. TAM VMP,,,,0,13.875449180603,,,,1291.0304093669,56151.9495874505
"3907","1984",CA,CCO,MRN,"0000000000000000",MT. TAM VMP,,,,0,27.2783451080322,,,,1601.49706830293,110391.54904248
"3908","1984",CA,CCO,MRN,"0000000000000000",MT. TAM VMP,,,,0,16.1392631530762,,,,1452.10484602808,65313.2833379932
"3909","1984",CA,CCO,MRN,"0000000000000000",LIBERTY GULCH VMP,,,,0,19.9483337402344,,,,1168.4842440914,80728.0410213663
"3910","1984",CA,CCO,MRN,"0000000000000000",LIBERTY GULCH VMP,,,,0,12.3114671707153,,,,926.570487244807,49822.7403842215
"3911","1984",CA,CCO,MRN,"0000000000000000",LIBERTY GULCH VMP,,,,0,15.9308986663818,,,,1104.24900523523,64470.0587998635
"3912","1984",CA,CCO,MRN,"0000000000000000",LIBERTY GULCH VMP,,,,0,9.6578197479248,,,,901.574769666411,39083.8107267234
"3913","1984",CA,CCO,MRN,"0000000000000000",LIBERTY GULCH VMP,,,,0,4.69369554519653,,,,581.249221627851,18994.7118709151
